@relation candor

@attribute Equipment_Cost__c numeric
@attribute Term__c numeric
@attribute Payment_Freq__c {Monthly,Quarterly}
@attribute Grade__c {KO,C,F,E,G,A,D,B,N/A}
@attribute ROI1__c numeric

@data
970,24,Monthly,KO,31.9
1595,36,Monthly,C,22.36
1831,36,Quarterly,F,19.49
1249.44,48,Monthly,E,34.64
1851,36,Monthly,C,18.32
3486.44,24,Quarterly,G,26.89
5330,36,Monthly,C,14.66
1200,60,Monthly,C,21.8
7970,60,Monthly,F,14.35
1452.47,60,Quarterly,F,25.17
1626.71,24,Monthly,KO,19.55
2134.63,48,Monthly,C,18.02
7500,36,Monthly,E,12.43
9150,36,Monthly,E,13.69
5000,48,Monthly,F,17.48
1850,48,Monthly,E,19.8
4918,60,Monthly,C,13.66
1528.55,60,Quarterly,E,29
2283.9,12,Monthly,C,15.06
2229.8,24,Monthly,KO,24.66
2420.78,60,Quarterly,F,20.84
3500,24,Quarterly,KO,26.76
6568,36,Quarterly,C,15.22
1861.21,48,Monthly,A,14.71
3309,60,Quarterly,A,16.3
9949.75,60,Quarterly,D,12.33
1190,36,Monthly,A,20.48
865.35,24,Monthly,F,31.74
1015.46,12,Monthly,C,22.95
2645,48,Quarterly,D,18.85
1658,24,Quarterly,A,24.43
19870,60,Monthly,C,9.14
25000,36,Monthly,F,10.97
3348.56,60,Quarterly,D,15.38
1000,24,Monthly,KO,17.09
4235.55,36,Monthly,D,16.14
1219.72,12,Monthly,F,18.89
5425.75,60,Quarterly,C,15.75
4600,60,Quarterly,G,11.45
1700,48,Quarterly,KO,18.63
3678.75,24,Quarterly,G,20.13
3500,36,Monthly,G,17.65
890,12,Quarterly,D,30.99
25000,60,Monthly,C,9.54
700,24,Monthly,KO,27.39
890,12,Monthly,E,15.2
2663.55,24,Quarterly,KO,24.3
3234.51,48,Monthly,G,16.52
8150,36,Quarterly,B,9.32
3225,36,Monthly,G,18.8
7397.14,60,Monthly,E,14.98
5000,24,Monthly,C,15.42
591.17,48,Quarterly,D,23.59
